ds,y
5/29/20,260
5/30/20,240
5/31/20,279
6/1/20,278
6/2/20,316
6/3/20,324
6/4/20,355
6/5/20,310
6/6/20,322
6/7/20,460
6/8/20,450
6/9/20,430
6/10/20,439
6/11/20,406
6/12/20,372
6/13/20,373
6/14/20,451
6/15/20,491
6/16/20,521
6/17/20,449
6/18/20,478
6/19/20,398
6/20/20,383
6/21/20,449
6/22/20,470
6/23/20,504
6/24/20,503
6/25/20,431
6/26/20,430
6/27/20,473
6/28/20,596
6/29/20,586
6/30/20,652
7/1/20,533
7/2/20,519
7/3/20,529
7/4/20,448
7/5/20,583
7/6/20,590
7/7/20,603
7/8/20,550
7/9/20,578
7/10/20,475
7/11/20,488
7/12/20,614
7/13/20,622
7/14/20,671
7/15/20,592
7/16/20,570
7/17/20,566
7/18/20,594
7/19/20,779
7/20/20,774
7/21/20,646
7/22/20,630
7/23/20,586
7/24/20,646
7/25/20,620
7/26/20,738
7/27/20,698
7/28/20,641
7/29/20,616
7/30/20,560
7/31/20,525
8/1/20,532
8/2/20,721
8/3/20,649
8/4/20,561
8/5/20,570
8/6/20,548
8/7/20,453
8/8/20,462
8/9/20,489
8/10/20,598
8/11/20,564
8/12/20,491
8/13/20,539
8/14/20,505
8/15/20,471
8/16/20,491
8/17/20,608
8/18/20,518
8/19/20,406
8/20/20,373
8/21/20,324
8/22/20,339
8/23/20,347
8/24/20,324
8/25/20,360
8/26/20,289
8/27/20,307
8/28/20,295
8/29/20,291
8/30/20,287
8/31/20,278
9/1/20,308
9/2/20,236
9/3/20,280
9/4/20,236
9/5/20,218
9/6/20,244
9/7/20,275
9/8/20,278
9/9/20,287
9/10/20,247
9/11/20,270
9/12/20,204
9/13/20,214
9/14/20,259
9/15/20,244
9/16/20,286
9/17/20,275
9/18/20,243
9/19/20,179
9/20/20,204
9/21/20,240
9/22/20,254
9/23/20,237
9/24/20,203
9/25/20,195
9/26/20,183
9/27/20,166
9/28/20,226
9/29/20,205
9/30/20,213
10/1/20,190
10/2/20,163
10/3/20,143
10/4/20,158
10/5/20,204
10/6/20,220
10/7/20,207
10/8/20,200
10/9/20,182
10/10/20,146
10/11/20,173
10/12/20,200
10/13/20,212
10/14/20,152
10/15/20,168
10/16/20,188
10/17/20,137
10/18/20,183
10/19/20,190
10/20/20,215
10/21/20,196
10/22/20,207
10/23/20,193
10/24/20,150
10/25/20,167
10/26/20,180
10/27/20,204
10/28/20,153
10/29/20,151
10/30/20,172
10/31/20,118
11/1/20,147
11/2/20,165
11/3/20,170
11/4/20,147
11/5/20,143
11/6/20,134
11/7/20,146
11/8/20,167
11/9/20,193
11/10/20,172
11/11/20,189
11/12/20,166
11/13/20,159
11/14/20,147
11/15/20,197
11/16/20,197
11/17/20,177
11/18/20,161
11/19/20,180
11/20/20,161
11/21/20,160
11/22/20,194
11/23/20,203
11/24/20,238
11/25/20,207
11/26/20,167
11/27/20,200
11/28/20,220
11/29/20,284
11/30/20,257
12/1/20,361
12/2/20,255
12/3/20,252
12/4/20,217
12/5/20,200
12/6/20,227
12/7/20,264
12/8/20,293
12/9/20,243
12/10/20,242
12/11/20,218
12/12/20,198
12/13/20,243
12/14/20,246
12/15/20,229
12/16/20,216
12/17/20,191
12/18/20,208
12/19/20,174
12/20/20,214
12/21/20,191
12/22/20,175
12/23/20,142
12/24/20,152
12/25/20,154
12/26/20,198
12/27/20,212
12/28/20,225
12/29/20,221
12/30/20,229
12/31/20,233
1/1/21,232
1/2/21,274
1/3/21,342
1/4/21,282
1/5/21,269
1/6/21,239
1/7/21,238
1/8/21,231
1/9/21,231
1/10/21,274
1/11/21,259
1/12/21,299
1/13/21,256
1/14/21,269
1/15/21,229
1/16/21,247
1/17/21,220
1/18/21,307
1/19/21,268
1/20/21,240
1/21/21,249
1/22/21,237
1/23/21,218
1/24/21,256
1/25/21,258
1/26/21,274
1/27/21,252
1/28/21,245
1/29/21,187
1/30/21,188
1/31/21,230
2/1/21,"1,974"
2/2/21,233
2/3/21,254
2/4/21,236
2/5/21,199
2/6/21,220
2/7/21,228
2/8/21,250
2/9/21,270
2/10/21,234
2/11/21,223
2/12/21,270
2/13/21,227
2/14/21,216
2/15/21,243
2/16/21,218
2/17/21,255
2/18/21,209
2/19/21,207
2/20/21,185
2/21/21,233
2/22/21,261
2/23/21,257
2/24/21,251
2/25/21,243
2/26/21,220
2/27/21,218
2/28/21,268
3/1/21,261
3/2/21,266
3/3/21,273
3/4/21,357
3/5/21,296
3/6/21,282
3/7/21,333
3/8/21,320
3/9/21,284
3/10/21,277
3/11/21,292
3/12/21,269
3/13/21,243
3/14/21,316
3/15/21,281
3/16/21,265
3/17/21,268
3/18/21,311
3/19/21,332
3/20/21,608
3/21/21,511
3/22/21,453
3/23/21,395
3/24/21,367
3/25/21,386
3/26/21,331
3/27/21,326
3/28/21,374
3/29/21,378
3/30/21,338
3/31/21,352
4/1/21,333
4/2/21,310
4/3/21,331
4/4/21,325
4/5/21,413
4/6/21,409
4/7/21,405
4/8/21,378
4/9/21,354
4/10/21,367
4/11/21,475
4/12/21,455
4/13/21,445
4/14/21,402
4/15/21,415
4/16/21,407
4/17/21,404
4/18/21,468
4/19/21,535
4/20/21,472
4/21/21,431
4/22/21,391
4/23/21,374
4/24/21,432
4/25/21,537
4/26/21,586
4/27/21,523
4/28/21,441
4/29/21,497
4/30/21,452
5/1/21,451
5/2/21,504
5/3/21,595
5/4/21,633
5/5/21,580
,"355,783"
