ds,y
03/01/2010,1.05%
04/01/2010,0.26%
05/01/2010,0.29%
06/01/2010,-0.46%
07/01/2010,-0.78%
08/01/2010,0.38%
09/01/2010,0.00%
10/01/2010,0.81%
11/01/2010,0.09%
12/01/2010,0.43%
01/01/2011,-0.97%
02/01/2011,1.16%
03/01/2011,1.09%
04/01/2011,0.65%
05/01/2011,0.73%
06/01/2011,0.53%
07/01/2011,-0.22%
08/01/2011,0.36%
09/01/2011,0.75%
10/01/2011,0.30%
11/01/2011,-0.16%
12/01/2011,0.36%
01/01/2012,0.05%
02/01/2012,1.42%
03/01/2012,1.29%
04/01/2012,0.74%
05/01/2012,-0.08%
06/01/2012,0.61%
07/01/2012,-1.00%
08/01/2012,-0.08%
09/01/2012,0.98%
10/01/2012,0.47%
11/01/2012,0.37%
12/01/2012,-0.05%
01/01/2013,0.21%
02/01/2013,2.03%
03/01/2013,0.15%
04/01/2013,-0.13%
05/01/2013,-0.18%
06/01/2013,0.59%
07/01/2013,-0.61%
08/01/2013,0.36%
09/01/2013,0.41%
10/01/2013,-0.13%
11/01/2013,0.20%
12/01/2013,0.33%
01/01/2014,-1.09%
02/01/2014,0.87%
03/01/2014,0.23%
04/01/2014,0.05%
05/01/2014,-0.08%
06/01/2014,0.48%
07/01/2014,-0.23%
08/01/2014,0.18%
09/01/2014,-0.43%
10/01/2014,0.03%
11/01/2014,-0.61%
12/01/2014,0.23%
01/01/2015,-1.29%
02/01/2015,0.57%
03/01/2015,1.02%
04/01/2015,0.05%
05/01/2015,0.30%
06/01/2015,0.35%
07/01/2015,0.03%
08/01/2015,0.50%
09/01/2015,-0.62%
10/01/2015,-0.20%
11/01/2015,-0.58%
12/01/2015,0.28%
01/01/2016,-1.06%
02/01/2016,0.69%
03/01/2016,0.46%
04/01/2016,0.10%
05/01/2016,0.33%
06/01/2016,0.10%
07/01/2016,-0.55%
08/01/2016,0.13%
09/01/2016,-0.10%
10/01/2016,-0.28%
11/01/2016,-0.41%
12/01/2016,-0.18%
01/01/2017,-1.20%
02/01/2017,0.59%
03/01/2017,-0.28%
04/01/2017,0.00%
05/01/2017,-0.41%
06/01/2017,-0.41%
07/01/2017,-0.57%
08/01/2017,0.18%
09/01/2017,-0.21%
10/01/2017,0.63%
11/01/2017,-0.49%
12/01/2017,0.62%
01/01/2018,-0.57%
02/01/2018,0.60%
03/01/2018,0.36%
04/01/2018,0.08%
05/01/2018,-0.03%
06/01/2018,0.46%
07/01/2018,-0.26%
08/01/2018,0.10%
09/01/2018,0.26%
10/01/2018,0.59%
11/01/2018,0.18%
12/01/2018,0.94%
01/01/2019,-0.73%
02/01/2019,0.15%
03/01/2019,0.66%
04/01/2019,0.48%
05/01/2019,0.20%
06/01/2019,0.37%
07/01/2019,-0.42%
08/01/2019,0.40%
09/01/2019,0.10%
10/01/2019,0.22%
11/01/2019,0.00%
12/01/2019,0.27%
01/01/2020,-0.87%
02/01/2020,0.95%
03/01/2020,0.10%
04/01/2020,0.57%
05/01/2020,0.88%
06/01/2020,0.51%
07/01/2020,0.17%
08/01/2020,0.46%
09/01/2020,0.53%
10/01/2020,0.43%
11/01/2020,0.10%
12/01/2020,0.14%
01/01/2021,-0.24%
02/01/2021,0.76%
03/01/2021,0.43%
04/01/2021,0.38%
